state,state_name,year,total,chronic,sh_chronic,uns_chronic,non_chronic,sh_chronic_ind,uns_chronic_ind,sh_chronic_fam,uns_chronic_fam
MS,Mississippi ,2013,2403.0,475.0,68.0,407.0,1928.0,61.0,347.0,7.0,60.0
MT,Montana ,2013,1878.0,227.0,65.0,162.0,1651.0,55.0,155.0,10.0,7.0
NC,North Carolina ,2013,12168.0,1842.0,802.0,1040.0,10326.0,675.0,776.0,127.0,264.0
ND,North Dakota ,2013,2069.0,179.0,68.0,111.0,1890.0,68.0,42.0,0.0,69.0
NE,Nebraska ,2013,3145.0,414.0,342.0,72.0,2731.0,273.0,66.0,69.0,6.0
NH,New Hampshire ,2013,1447.0,255.0,135.0,120.0,1192.0,118.0,108.0,17.0,12.0
NJ,New Jersey ,2013,12002.0,1237.0,847.0,390.0,10765.0,638.0,364.0,209.0,26.0
NM,New Mexico ,2013,2819.0,525.0,306.0,219.0,2294.0,240.0,159.0,66.0,60.0
NV,Nevada ,2013,7039.0,724.0,377.0,347.0,6315.0,375.0,343.0,2.0,4.0
NY,New York ,2013,77430.0,6317.0,3885.0,2432.0,71113.0,1673.0,2372.0,2212.0,60.0
OH,Ohio ,2013,12325.0,1753.0,1207.0,546.0,10572.0,1135.0,542.0,72.0,4.0
OK,Oklahoma ,2013,4408.0,719.0,330.0,389.0,3689.0,260.0,357.0,70.0,32.0
OR,Oregon ,2013,13822.0,3043.0,723.0,2320.0,10779.0,588.0,1856.0,135.0,464.0
PA,Pennsylvania ,2013,15086.0,1681.0,1010.0,671.0,13405.0,889.0,647.0,121.0,24.0
RI,Rhode Island ,2013,1384.0,251.0,198.0,53.0,1133.0,190.0,53.0,8.0,0.0
SC,South Carolina ,2013,6544.0,483.0,143.0,340.0,6061.0,125.0,328.0,18.0,12.0
SD,South Dakota ,2013,1094.0,217.0,71.0,146.0,877.0,42.0,75.0,29.0,71.0
TN,Tennessee ,2013,9528.0,2219.0,1162.0,1057.0,7309.0,1079.0,850.0,83.0,207.0
TX,Texas ,2013,29615.0,5535.0,2168.0,3367.0,24080.0,1677.0,3093.0,491.0,274.0
UT,Utah ,2013,3277.0,454.0,349.0,105.0,2823.0,268.0,79.0,81.0,26.0
VA,Virginia ,2013,7625.0,1356.0,875.0,481.0,6269.0,797.0,465.0,78.0,16.0
VT,Vermont ,2013,1454.0,217.0,140.0,77.0,1237.0,110.0,73.0,30.0,4.0
WA,Washington ,2013,17760.0,2196.0,1076.0,1120.0,15564.0,955.0,972.0,121.0,148.0
WI,Wisconsin ,2013,6104.0,521.0,383.0,138.0,5583.0,313.0,136.0,70.0,2.0
WV,West Virginia ,2013,2240.0,432.0,250.0,182.0,1808.0,211.0,179.0,39.0,3.0
WY,Wyoming ,2013,953.0,244.0,116.0,128.0,709.0,116.0,105.0,0.0,23.0
AK,Alaska ,2012,1913.0,279.0,263.0,16.0,1634.0,257.0,16.0,6.0,0.0
AL,Alabama,2012,5209.0,969.0,353.0,616.0,4240.0,331.0,579.0,22.0,37.0
AR,Arkansas ,2012,4214.0,437.0,171.0,266.0,3777.0,142.0,219.0,29.0,47.0
AZ,Arizona ,2012,11302.0,1895.0,615.0,1280.0,9407.0,389.0,1216.0,226.0,64.0
CA,California ,2012,120098.0,33356.0,5458.0,27898.0,86742.0,4912.0,25277.0,546.0,2621.0
CO,Colorado ,2012,16768.0,1943.0,784.0,1159.0,14825.0,493.0,1119.0,291.0,40.0
CT,Connecticut ,2012,4209.0,944.0,614.0,330.0,3265.0,594.0,330.0,20.0,0.0
